congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,first_middle_name,last_name,fullname
116,President,99912,99,0.0,USA,200,0.0,0.0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,,Donald John,Trump,Donald Trump
116,House,20301,41,3.0,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.377,0.384,-160.7373,0.81005,763.0,68.0,,0.52,0.388,Mike Dennis,Rogers,Mike Rogers
116,House,21102,41,7.0,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.398,0.4,-28.25165,0.96483,789.0,11.0,,-0.43,0.384,Terri,Sewell,Terri Sewell
116,House,21192,41,2.0,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-90.42097,0.88244,723.0,31.0,,0.346,0.672,Martha,Roby,Martha Roby
116,House,21193,41,5.0,AL,200,,,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-140.71682,0.83962,805.0,57.0,,0.772,-0.337,Mo,Brooks,Mo Brooks
116,House,21376,41,1.0,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-107.81607,0.85611,694.0,42.0,,0.702,0.194,Bradley,Byrne,Bradley Byrne
116,House,21500,41,6.0,AL,200,,,"PALMER, Gary James",P000609,1954,,0.679,0.102,-96.89506,0.8843,788.0,37.0,,0.669,0.085,Gary James,Palmer,Gary Palmer
116,House,29701,41,4.0,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.403,0.479,-114.13221,0.86005,757.0,45.0,,0.449,0.499,Robert,Aderholt,Robert Aderholt
116,House,14066,81,1.0,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-225.61247,0.74545,768.0,84.0,,0.336,0.085,Donald Edwin,Young,Don Young
116,House,21995,93,0.0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947,,0.336,0.208,-15.74039,0.76925,60.0,8.0,,0.413,0.014,Aumua Amata Coleman,Radewagen,Amata Radewagen
116,House,20305,61,3.0,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-23.04486,0.97052,770.0,9.0,,-0.594,-0.543,Raúl M.,Grijalva,Raúl Grijalva
116,House,20902,61,2.0,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.01,-45.98655,0.93762,714.0,18.0,,-0.369,0.401,Ann,Kirkpatrick,Ann Kirkpatrick
116,House,21103,61,4.0,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.699,-0.499,-107.01846,0.86768,754.0,35.0,,0.919,-0.395,Paul,Gosar,Paul Gosar
116,House,21105,61,6.0,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.561,-0.251,-196.5483,0.78431,809.0,83.0,,0.521,-0.312,David,Schweikert,David Schweikert
116,House,21502,61,7.0,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.418,0.069,-21.00615,0.97402,798.0,11.0,,-0.431,0.046,Ruben,Gallego,Ruben Gallego
116,House,21705,61,5.0,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.827,-0.562,-95.5335,0.88664,794.0,32.0,,1.0,-0.03,Andrew S.,Biggs,Andy Biggs
116,House,21739,61,1.0,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.198,0.18,-43.50479,0.94701,799.0,16.0,,-0.333,0.404,Thomas C.,O'halleran,Tom O'Halleran
116,House,21757,61,8.0,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.614,-0.077,-109.86003,0.87063,793.0,53.0,,0.591,0.019,Debbie,Lesko,Debbie Lesko
116,House,21968,61,9.0,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.284,0.247,-30.01108,0.96358,809.0,8.0,,-0.313,-0.042,Greg,Stanton,Greg Stanton
116,House,21106,42,1.0,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.457,0.32,-81.55161,0.89644,746.0,32.0,,0.508,0.518,Rick,Crawford,Rick Crawford
