Variable,Description,SurveyQuestion
HIVTEST1_0622,In what month and year was your last HIV test,"Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth). A. Not including blood donations, in what month and year was your last HIV test? As of 2024, HIVTEST1 accounts for only the year in which the respondent tested for HIV and the variable has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information. The original HIVTEST1 containing data from 2006 to 2022 has been renamed HIVTEST1_0622."
PARTNERS_8822,How many sex partner's R had in last year,"How many sex partners have you had in the last 12 months? As of 2024, PARTNERS has been recoded to only account for 0 to 11+ partners and has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information.The original PARTNERS containing data from 1988 to 2022 has been renamed PARTNERS_8822."
RELIG_NEXT,RELIGION - FOLLOW-ON VERSION,What is your religious preference?
abany,abortion if woman wants for any reason,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. G. The woman wants it for any reason?"
abdefect,strong chance of serious defect,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. A. If there is a strong chance of serious defect in the baby?"
abhelp1,r would help with arrangements for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help with arrangements, like a ride or childcare?"
abhelp2,r would help with paying for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help paying for the abortion?"
abhelp3,r would help with paying for abortion-related other costs,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help paying for costs other than the abortion, like for a ride or hotel if she needs to stay overnight?"
abhelp4,r would help with emotional support for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help by providing emotional support?"
abhlth,woman's health seriously endangered,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. C. If the woman''s own health is seriously endangered by the pregnancy?"
abnomore,married--wants no more children,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. B. If she is married and does not want any more children?"
