VariableName,Description,SurveyQuestion,Href,CodeMapping,ConciseDescription
attend,how often r attends religious services,"How often do you attend religious services? (USE CATEGORIES AS PROBES, IF NECESSARY.)",/variables/294/vshow,0=never; 1=less than once a year; 2=about once or twice a year; 3=several times a year; 4=about once a month; 5=2-3 times a month; 6=nearly every week; 7=every week; 8=several times a week,Religious attendance
compuse,r use computer,"Do you personally ever use a computer at home, at work, or at some other location?",/variables/2378/vshow,1=yes; 2=no,Uses computer
emailhr,email hours per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,/variables/2382/vshow,0=0 hours; 168=168 hours,Email hours/week
emailmin,email minutes per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,/variables/2381/vshow,0=0 minutes; 59=59 minutes,Email minutes/week
evcrack,r ever use crack cocaine,"Have you ever, even once, used “crack” cocaine in chunk or rock form?",/variables/5072/vshow,1=yes; 2=no,Ever used crack
evidu,r ever inject drugs,"Have you ever, even once, taken any drugs by injection with a needle (like heroin, cocaine, amphetamines, or steroids). Do not include anything you took under a doctor’s orders.",/variables/5070/vshow,1=yes; 2=no,Ever injected drugs
evpaidsx,ever have sex paid for or being paid since 18,"Thinking about the time since your 18th birthday, have you ever had sex with a person you paid or who paid you for sex?",/variables/5066/vshow,1=yes; 2=no,Ever paid for sex
evstray,have sex other than spouse while married,Have you ever had sex with someone other than your husband or wife while you were married?,/variables/5067/vshow,1=yes; 2=no; 3=never married,Extramarital sex
fear,afraid to walk at night in neighborhood,"Is there any area right around here--that is, within a mile--where you would be afraid to walk alone at night?",/variables/675/vshow,1=yes; 2=no,Afraid to walk at night
grndemo,protested for envir issue,"In the last five years, have you… C. ...taken part in a protest or demonstration about an environmental issue?",/variables/4776/vshow,1=yes; 2=no,Environmental protest
grngroup,member of envir group,Are you a member of any group whose main aim is to preserve or protect the environment?,/variables/4773/vshow,1=yes; 2=no,Environmental group member
grnmoney,give money to envir group,"In the last five years, have you… B. ...given money to an environmental group?",/variables/4775/vshow,1=yes; 2=no,Donated to environment
grnsign,sign petition on envir issue,"In the last five years, have you… A. ...signed a petition about an environmental issue?",/variables/4774/vshow,1=yes; 2=no,Signed environmental petition
hivtest,have you ever been tested for hiv,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth).,/variables/5074/vshow,1=yes; 2=no,HIV tested
hrsrelax,hours per day r have to relax,"After an average work day, about how many hours do you have to relax or pursue activities that you enjoy?",/variables/2772/vshow,numeric (hours per day to relax),Hours to relax daily
hunt,does r or spouse hunt,A. Do you (or does your [husband/wife]) go hunting? CIRCLE ONLY ONE CODE.,/variables/688/vshow,"1=yes, respondent does; 2=yes, spouse does; 3=yes, both do; 4=no, neither r nor spouse hunts",Hunts
news,how often does r read newspaper,"How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or never?",/variables/690/vshow,1=every day; 2=a few times a week; 3=once a week; 4=less than once a week; 5=never,Reads newspaper
nobuygrn,how often avoid products,K3. And how often do you avoid buying certain products for environmental reasons?,/variables/4815/vshow,1=always; 2=often; 3=sometimes; 4=never; 5=not available where I shop,Avoids products for environment
owngun,have gun in home,Do you happen to have in your home (IF HOUSE: or garage) any guns or revolvers?,/variables/679/vshow,1=yes; 2=no; 3=refused,Gun in home
partners,how many sex partner's r had in last year,"How many sex partners have you had in the last 12 months? As of 2024, PARTNERS has been recoded to only account for 0 to 11+ partners and has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information.The original PARTNERS containing data from 1988 to 2022 has been renamed PARTNERS_8822.",/variables/5049/vshow,"0=no partners; 1=1 partner; 2=2 partners; 3=3 partners; 4=4 partners; 5=5-10 partners; 6=11+ partners; 9=1 or more, (unspecified)",Sex partners last year
partnrs5,how many sex partner's r had in last 5 years,"Now think about the past five years--the time since February/March [1999], and including the past 12 months, how many sex partners have you had in that five year period?",/variables/5064/vshow,0=no partners; 1=1 partner; 2=2 partners; 3=3 partners; 4=4 partners; 5=5-10 partners; 6=11-20 partners; 7=21-100 partners; 8=more than 100 partners; 9=1 or more (unspecified); 95=several,Sex partners last 5 years
pistol,pistol or revolver in home,"Do you happen to have in your home (IF HOUSE: or garage) any guns or revolvers? A. IF YES: Is it a pistol, shotgun, rifle, or what? CODE ALL THAT APPLY. [Coded if Pistol]",/variables/680/vshow,1=yes; 2=no; 3=refused,Pistol in home
