issue,normalized_distance,variance,area,explanation
imm_unauth,0.2745465654185214,0.08745007479679232,Immigration,Policy preferences regarding unauthorized/undocumented immigrants.
birthright,0.3407475798012947,0.12907354624384473,Immigration,Support for birthright citizenship for children born in the U.S. to non-citizen parents.
paid_leave,0.18082687478576456,0.07235044827301791,Labor,Support for paid parental/family leave policies for new parents and caregivers.
trump_corr,0.4033139403227057,0.09327453248950139,Institutions,Perceptions of corruption involving Donald Trump and/or his administration.
journ_access,0.2561402609824417,0.1040730658623939,Institutions,Support for press/journalist access to government officials and government transparency norms.
gun_bkg_chk,0.10681962923157519,0.05034428237283212,Guns,Support for background checks on gun purchases (including universal background checks).
illeg_child,0.24516135795635619,0.07558092205691394,Immigration,Views on how the U.S. should handle children of undocumented immigrants.
death_pen,0.3436086769048307,0.14727233213826849,CrimeAndPolicing,Support for the death penalty/capital punishment for serious crimes.
abortion,0.3909198767226188,0.13217571381589632,Abortion,Attitudes toward abortion legality and access.
scotus_abort,0.41508393657006404,0.12051969554350443,Abortion,Views on Supreme Court decisions and judicial intervention related to abortion.
ar_ban,0.3429201990666133,0.15733752310727628,Guns,Support for banning assault rifles/assault weapons.
econ_now,0.3057376886905802,0.07645115109753466,Economy,Evaluation of the current national economy (retrospective economic assessment).
voter_id,0.33671367485730785,0.10479165615114847,Elections,"Support for voter identification requirements (e.g., photo ID laws)."
felon_vote,0.2562440021645173,0.10628054715947095,Elections,Support for restoring or extending voting rights to people with felony convictions.
vax_school,0.11547069788314107,0.08741233023700908,Health,Support for school vaccination requirements for children attending school.
spend_border,0.41750234311440443,0.11300917245999198,Immigration,Preferences for federal spending levels on border security.
spend_welfare,0.33819363698024535,0.09492745112783837,Redistribution,Preferences for federal spending on welfare programs / public assistance.
spend_poor,0.2847715494359586,0.0772417762379888,Redistribution,Preferences for federal spending to aid the poor / anti-poverty programs.
spend_school,0.2222061789324392,0.07712462290508978,Education,Preferences for federal spending on public schools and K–12 education.
checks_power,0.049100108286235566,0.04886898880736933,Institutions,Views on checks and balances and whether branches of government should limit one another's power.
border_wall,0.644313097079266,0.16992836866400768,Immigration,Support for constructing a barrier/wall at the U.S.–Mexico border.
trans_bath,0.44179400679868874,0.16121971624036788,Transgender,Views on transgender bathroom access policies.
trans_military,0.34499418912341134,0.10412125741158247,Transgender,Views on transgender people serving in the U.S. military.
lg_job,0.1789169620280887,0.08867192495046469,Lesbian/Gay,Views on legal protections against job discrimination for gay/lesbian people.
lg_marry,0.1789169620280887,0.08867192495046469,Lesbian/Gay,Support for same-sex marriage / marriage rights for gay and lesbian couples.
lg_refuse_service,0.4375117052858082,0.16566092646777103,Lesbian/Gay,Views on refusing service to same-sex couples.
police_force,0.21020506609738077,0.05555253530914254,CrimeAndPolicing,Support for police use of force / policing practices.
assist_black,0.4351298193332091,0.1124755074311102,Diversity,Support for government assistance to Black Americans / addressing racial inequality.
black_favor,0.4178812959758603,0.13561848160317588,Diversity,Attitudes toward whether Black people should receive favoritism in society/politics.
diversity,0.21988492069399745,0.07530766594324084,Diversity,Attitudes toward diversity initiatives and/or the importance of diversity.
job_gov_guar,0.3949500149235625,0.1054674166877238,Labor,Support for a government-guaranteed job program (public employment guarantee).
govt_health,0.44235517751109055,0.1246440529287745,Health,"Support for government-provided health insurance (e.g., single payer, public provision)."
obamacare,0.6288500752948288,0.15163728972845675,Health,Attitudes toward the Affordable Care Act (ACA/'Obamacare').
svc_spend,0.3675290272756917,0.08922335064409087,Redistribution,Preferences for government spending on services (general service provision).
def_spend,0.2716475123452365,0.08448864216349082,ForeignPolicy,Preferences for government spending on national defense and the military.
urban_unrest,0.5471650488244929,0.14762277745110214,CrimeAndPolicing,"Concern about urban unrest, protests, and disorder."
clim_imp,0.42866485999361553,0.11411163018736294,Climate,Importance assigned to climate change as an issue.
rus_interf,0.5182750363315838,0.15237916655576475,Institutions,Concern about Russian interference in U.S. elections and related political influence operations.
ft_trans,0.2711766514262883,0.07632831420753981,Transgender,Feeling thermometer rating toward transgender people.
ft_union,0.2147083599189945,0.05761388852004169,Labor,Feeling thermometer rating toward labor unions.
ft_fem,0.3104159928974626,0.07181471479484709,Gender,Feeling thermometer rating toward feminists.
ft_sci,0.1687586174221618,0.04067301684121747,Institutions,Feeling thermometer rating toward scientists.
ft_police,0.2372466930519208,0.06313095447862982,CrimeAndPolicing,Feeling thermometer rating toward police.
env_bus,0.42792745753272077,0.10904997782913191,Climate,Tradeoff between environmental protection and business regulation/deregulation.
