VariableName,Description,SurveyQuestion,Href
abany,abortion if woman wants for any reason,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. G. The woman wants it for any reason?",/variables/607/vshow
abdefect,strong chance of serious defect,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. A. If there is a strong chance of serious defect in the baby?",/variables/601/vshow
abhelp1,r would help with arrangements for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help with arrangements, like a ride or childcare?",/variables/7177/vshow
abhelp2,r would help with paying for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help paying for the abortion?",/variables/7178/vshow
abhelp3,r would help with paying for abortion-related other costs,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help paying for costs other than the abortion, like for a ride or hotel if she needs to stay overnight?",/variables/7179/vshow
abhelp4,r would help with emotional support for abortion,"If a close family member or friend decided to have an abortion, which of the following kinds of help, if any, would you give if you were able�Help by providing emotional support?",/variables/7180/vshow
abhlth,woman's health seriously endangered,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. C. If the woman''s own health is seriously endangered by the pregnancy?",/variables/603/vshow
abnomore,married--wants no more children,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. B. If she is married and does not want any more children?",/variables/602/vshow
abpoor,low income--cant afford more children,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. D. If the family has a very low income and cannot afford any more children?",/variables/604/vshow
abrape,pregnant as result of rape,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. E. If she became pregnant as a result of rape?",/variables/605/vshow
absingle,not married,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .READ EACH STATEMENT, AND CIRCLE ONE CODE FOR EACH. F. If she is not married and does not want to marry the man?",/variables/606/vshow
acqntsex,r had sex with acquaintance last year,"If you had other partners, please indicate all categories that apply to them. B. Neighbor, Co-worker, or long-term acquaintance",/variables/5052/vshow
adults,household members 18 yrs and older,"Household Size and Composition (see Appendix D: Recodes, for information about these variables) D. NUMBER OF MEMBERS OVER 17 YEARS OLD:",/variables/101/vshow
advfront,sci rsch is necessary and should be supported by federal govt,"I’m going to read to you some statements like those you might find in a newspaper or magazine article. For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. D. Even if it brings no immediate benefits, scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government.",/variables/3319/vshow
affrmact,Favor preference in hiring Black people,"A. Some people say that because of past discrimination, Black people should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of Black people is wrong because it discriminates against whites. What about your opinion -- are you for or against preferential hiring and promotion of Black people? IF FAVORS: A. Do you favor preference in hiring and promotion strongly or not strongly? IF OPPOSES: B. Do you oppose preference in hiring and promotion strongly or not strongly?",/variables/423/vshow
age,age of respondent,RESPONDENT'S AGE,/variables/53/vshow
aged,should aged live with their children,"As you know, many older people share a home with their grown children. Do you think this is generally a good idea or a bad idea?",/variables/527/vshow
agekdbrn,r's age when 1st child born,"How old were you when your first child was born? As of 2024, AGEKDBRN has been recoded to only account for first child born during ages 18-45. This has been retroactively applied to all previous years of AGEKDBRN. The original AGEKDBRN containing data from 1994 to 2022 has been renamed AGEKDBRN_9422.",/variables/54/vshow
arthrtis,told have arthritis or rheumatism,"Now I would like to ask you some questions about general health conditions. Has a doctor, nurse, or other health professional EVER told you that you had: B. Arthritis or rheumatism?",/variables/2843/vshow
attend,how often r attends religious services,"How often do you attend religious services? (USE CATEGORIES AS PROBES, IF NECESSARY.)",/variables/294/vshow
away1,is 1st person staying somewhere else now?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 5. Is the first person staying somewhere else right now?",/variables/5336/vshow
away10,is 10th person staying somewhere else now?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 5. Is the tenth person staying somewhere else right now?",/variables/5390/vshow
away11,is 11th person (visitor) staying elsewhere now?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 5. Is the eleventh person staying somewhere else right now?",/variables/5396/vshow
away12,is 12th person (visitor) staying elsewhere now?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 5. Is the twelfth person staying somewhere else right now?",/variables/5402/vshow
