Variable,Description,SurveyQuestion,NaturalLanguageClause
PARTNERS_8822,How many sex partner's R had in last year,"How many sex partners have you had in the last 12 months? As of 2024, PARTNERS has been recoded to only account for 0 to 11+ partners and has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information.The original PARTNERS containing data from 1988 to 2022 has been renamed PARTNERS_8822.",how many sex partners to have
acqntsex,r had sex with acquaintance last year,"If you had other partners, please indicate all categories that apply to them. B. Neighbor, Co-worker, or long-term acquaintance",whether to have sex with an acquaintance
evpaidsx,ever have sex paid for or being paid since 18,"Thinking about the time since your 18th birthday, have you ever had sex with a person you paid or who paid you for sex?",whether to have sex with someone who was paid or who paid for sex
evstray,have sex other than spouse while married,Have you ever had sex with someone other than your husband or wife while you were married?,whether to have sex with someone other than a spouse while married
frndsex,r had sex with friend last year,"If you had other partners, please indicate all categories that apply to them. A. Close personal friend",whether to have sex with a friend
matesex,was 1 of r's partner's spouse or regular,Was one of the partners your husband or wife or regular sexual partner?,whether a sex partner was a spouse or regular partner
nummen,number of male sex partner's since 18,Now thinking about the time since your 18th birthday (including the past 12 months) how many male partners have you had sex with?,how many male sex partners to have
numwomen,number of female sex partner's since 18,Now thinking about the time since your 18th birthday (including the past 12 months) how many female partners have you had sex with?,how many female sex partners to have
othersex,r had sex with some other last year,"If you had other partners, please indicate all categories that apply to them. E. Other (PLEASE SPECIFY)",whether to have sex with some other type of partner
paidsex,r had sex for pay last year,"If you had other partners, please indicate all categories that apply to them. D. Person you paid or paid you for sex",whether to have sex for pay
partners,how many sex partner's r had in last year,"How many sex partners have you had in the last 12 months? As of 2024, PARTNERS has been recoded to only account for 0 to 11+ partners and has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information.The original PARTNERS containing data from 1988 to 2022 has been renamed PARTNERS_8822.",how many sex partners to have
partnrs5,how many sex partner's r had in last 5 years,"Now think about the past five years--the time since February/March [1999], and including the past 12 months, how many sex partners have you had in that five year period?",how many sex partners to have
pikupsex,r had sex with casual date last year,"If you had other partners, please indicate all categories that apply to them. C. Casual date or pick-up",whether to have sex with a casual date
sexfreq,frequency of sex during last year,About how often did you have sex during the last 12 months?,how often to have sex
astrolgy,ever read a horoscope or personal astrology report,"Now, for a new subject. Do you ever read a horoscope or your personal astrology report?",whether to read a horoscope or astrology report
astrosci,astrology is scientific,"Would you say that astrology is very scientific, sort of scientific, or not at all scientific?",whether astrology is scientific
attend,how often r attends religious services,"How often do you attend religious services? (USE CATEGORIES AS PROBES, IF NECESSARY.)",how often to attend religious services
bible,feelings about the bible,"A. Which of these statements comes closest to describing your feelings about the Bible? READ FIRST THREE STATEMENTS [(a)-(c)] ONLY. CIRCLE ONLY ONE CODE. a. The Bible is the actual word of God and is to be taken literally, word for word .....1nb. The Bible is the inspired word of God but not everything in it should be taken literally, word for word ..... .2nc.The Bible is an ancient book of fables, legends, history, and moral precepts recorded by men ......3",feelings about the Bible
